小时,温度,风力方向,风级,降水量,相对湿度,空气质量
16,32.4,南风,1,0,60,
17,24.7,东风,1,11.5,89,
18,25.1,西风,1,0,92,
19,25.1,北风,0,0,93,
20,25.2,北风,0,0,94,
21,25.4,北风,1,1.3,94,
22,25.2,西北风,1,0.1,95,
23,25.4,东北风,1,0.2,90,
00,24.1,东北风,1,0.4,90,
01,22.9,东北风,2,0,90,
02,21.9,东北风,2,0.9,90,
03,20.9,北风,2,0.7,91,
04,20.7,东风,1,0.3,92,
05,20.6,东北风,1,0.1,92,
06,20.8,东北风,1,0,91,
07,21.4,东北风,2,0,89,
08,21.6,东北风,2,0,87,
09,21.7,东北风,2,0,85,
10,21.7,东北风,1,0.1,85,
11,21.5,东风,2,0,75,
12,20.2,东风,1,0.8,84,
13,18.7,东北风,2,1.8,83,
14,17.8,东北风,2,2.4,84,
15,17.1,东风,2,0.7,79,
16,17.1,东北风,2,0.9,84,
