小时,温度,风力方向,风级,降水量,相对湿度,空气质量
16,27.6,南风,1,0,85,
17,29.6,南风,2,0,72,
18,28.4,南风,2,0,76,
19,26.8,南风,2,0,81,
20,26.0,东北风,0,0,87,
21,24.6,东南风,1,0,94,
22,24.5,北风,1,0,96,
23,24.3,东风,0,0,96,
00,24.2,北风,1,0,96,
01,25.0,东北风,2,0,94,
02,24.3,东北风,2,0,88,
03,23.4,东北风,2,0.1,91,
04,21.8,北风,3,0,93,
05,21.2,东北风,2,0,93,
06,21.2,东北风,2,0,91,
07,21.6,东北风,2,0,90,
08,21.6,东北风,2,0,90,
09,21.7,东北风,2,0,91,
10,21.3,东风,3,0.6,94,
11,21.2,东北风,2,1.5,94,
12,21.9,东北风,2,0,89,
13,19.8,东北风,3,0.4,90,
14,18.7,东北风,2,7.3,95,
15,17.1,东北风,3,3.8,92,
16,15.9,东北风,3,0.9,91,
