小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,18.1,北风,1,0,98,
22,17.4,东风,1,0,100,
23,17.3,西风,1,0,100,
00,17.1,南风,1,0,100,
01,17.1,北风,1,0,100,
02,17.1,北风,1,0,100,
03,17.0,东北风,1,0,100,
04,17.0,东南风,1,0,100,
05,16.7,东北风,1,0,100,
06,16.7,东北风,1,0.1,100,
07,16.5,东北风,2,3.9,100,
08,17.0,北风,1,0.2,100,
09,17.7,东北风,1,0,100,
10,20.0,西南风,1,0,79,
11,21.6,北风,1,0,72,
12,24.4,东风,1,0,55,
13,26.1,东南风,2,0,50,
14,26.5,东南风,2,0,47,
15,26.9,西南风,3,0,52,
16,26.5,西南风,3,0,50,
17,27.6,西南风,4,0,40,
18,27.2,西南风,3,0,45,
19,25.0,北风,2,0,56,
20,20.7,东北风,2,1.5,68,
21,18.2,南风,1,0.1,93,
