小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,21.2,西南风,1,0,72,
22,20.3,西南风,1,0,78,
23,,,,,,
00,19.6,西南风,1,0,85,
01,19.3,东北风,1,0,88,
02,19.0,西北风,1,0,91,
03,18.6,西风,1,0,100,
04,18.6,西风,1,0,100,
05,18.6,东北风,1,0,100,
06,18.2,西南风,2,7,100,
07,,,,,,
08,18.2,北风,1,1,100,
09,18.6,西南风,1,0,100,
10,20.3,东风,1,0,97,
11,20.4,南风,1,0,98,
12,21.1,东风,1,0.2,89,
13,23.6,东风,2,0,75,
14,25.0,南风,2,0,65,
15,26.3,西风,1,0,58,
16,27.7,西风,1,0,54,
17,24.2,西风,1,0.4,84,
18,22.6,西南风,2,0,65,
19,22.4,北风,2,0,69,
20,21.2,西北风,1,0,80,
21,20.7,东北风,2,0,81,
