小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,16.6,东南风,2,0,56,
22,14.6,东南风,2,0,65,
23,13.3,东南风,2,0,70,
00,12.3,南风,1,0,76,
01,11.8,东南风,2,0,78,
02,12.6,东南风,1,0,74,
03,13.7,东风,2,0,68,
04,12.3,东南风,2,0,75,
05,10.2,西南风,2,0,86,
06,9.4,东南风,1,0,89,
07,9.8,南风,1,0,89,
08,13.5,东南风,2,0,74,
09,15.5,南风,2,0,64,
10,18.6,西南风,3,0,48,
11,19.8,西南风,3,0,46,
12,21.5,西南风,4,0,37,
13,21.7,西南风,3,0,33,
14,23.4,西南风,3,0,30,
15,24.5,西南风,3,0,28,
16,23.5,西南风,3,0,28,
17,24.2,南风,3,0,28,
18,23.8,南风,3,0,30,
19,23.0,南风,3,0,32,
20,21.0,南风,2,0,35,
21,20.0,南风,2,0,37,
