小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,17.4,西南风,3,0,71,35
22,17.0,南风,1,0,70,32
23,15.5,西北风,1,0,77,32
00,14.9,南风,1,0,82,28
01,13.9,西北风,1,0,86,32
02,13.8,西风,1,0,88,32
03,13.5,西北风,0,0,90,35
04,13.0,东南风,0,0,92,34
05,12.7,东南风,1,0,93,34
06,12.2,西南风,2,0,94,42
07,12.4,北风,1,0,94,
08,13.7,南风,1,0,88,42
09,16.0,西南风,2,0,82,46
10,17.5,东北风,1,0,75,52
11,19.6,西南风,3,0,65,48
12,21.2,西南风,4,0,58,39
13,22.6,西南风,4,0,54,40
14,23.4,西南风,3,0,50,41
15,19.2,西北风,5,0,59,47
16,18.5,西南风,2,1.4,70,42
17,22.1,西南风,3,0,57,34
18,22.0,西南风,3,0,58,34
19,20.9,西南风,2,0,63,38
20,19.0,西风,2,0,72,36
21,18.2,西风,2,0,68,40
