小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,15.5,东南风,2,0,89,
22,14.6,东南风,1,0,93,
23,13.2,南风,1,0,96,
00,12.5,南风,1,0,97,
01,13.2,东南风,1,0,98,
02,13.3,东南风,1,0,98,
03,13.4,北风,1,0,98,
04,13.2,东南风,1,0,98,
05,13.0,东南风,1,0,98,
06,12.7,东北风,1,0,98,
07,12.8,东南风,1,0,98,
08,13.0,东北风,1,0,99,
09,13.6,南风,1,0,97,
10,15.9,东南风,3,0,85,
11,17.2,东南风,2,0,79,
12,19.5,北风,1,0,71,
13,20.8,南风,2,0,63,
14,22.5,西南风,2,0,56,
15,22.9,西南风,2,0,55,
16,21.7,西北风,2,0,63,
17,20.1,东北风,1,0,63,
18,20.9,南风,2,0,54,
19,19.9,东南风,2,0,70,
20,17.5,东南风,2,0,83,
21,15.8,西南风,1,0,89,
