小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,16.1,东风,2,0,61,
22,13.7,西北风,1,0,71,
23,12.3,北风,1,0,77,
00,11.1,南风,1,0,81,
01,10.4,东南风,1,0,84,
02,10.0,东南风,1,0,87,
03,8.9,东风,0,0,92,
04,9.0,南风,1,0,91,
05,8.1,东南风,1,0,91,
06,8.3,南风,1,0,91,
07,7.6,东北风,1,0,93,
08,10.7,东南风,1,0,86,
09,14.3,西北风,1,0,70,
10,19.3,南风,3,0,47,
11,21.0,西南风,2,0,44,
12,22.4,西北风,2,0,36,
13,23.0,西风,2,0,33,
14,23.4,南风,3,0,36,
15,22.3,西风,2,0,37,
16,23.1,西风,2,0,35,
17,24.7,西风,2,0,28,
18,23.6,西风,2,0,31,
19,22.0,西风,1,0,34,
20,20.1,西风,1,0,38,
21,19.4,西南风,2,0,41,
