小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,16.5,南风,2,0,83,25
23,15.9,南风,1,0,85,24
00,15.5,南风,1,0,89,25
01,15.6,西北风,1,0,87,28
02,15.0,西南风,1,0,90,28
03,15.0,西南风,1,0,87,28
04,15.0,西南风,2,0,86,25
05,14.9,西南风,1,0,85,26
06,14.7,西南风,2,0,87,25
07,15.0,西南风,2,0,85,25
08,16.0,西南风,3,0,80,26
09,17.4,西南风,3,0,76,26
10,19.6,西南风,3,0,65,29
11,21.7,西南风,3,0,51,35
12,22.3,西南风,3,0,49,38
13,22.9,西南风,3,0,46,38
14,23.1,西南风,3,0,48,38
15,23.8,西南风,3,0,42,41
16,23.8,西南风,3,0,38,42
17,24.0,西南风,3,0,39,41
18,23.7,西南风,2,0,41,40
19,22.9,西南风,3,0,42,40
20,21.6,西南风,3,0,45,39
21,20.6,西南风,3,0,49,37
22,20.0,南风,2,0,51,
