小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,22.3,东南风,1,0,77,
22,22.2,西风,1,0,78,
23,21.6,北风,1,0,82,
00,21.1,西风,1,0,83,
01,20.7,西南风,1,0,84,
02,20.4,北风,0,0,86,
03,20.2,东风,1,0,89,
04,19.8,西北风,1,0,90,
05,19.8,南风,1,0,91,
06,19.5,西南风,0,0,92,
07,19.4,北风,1,0,92,
08,19.8,东风,1,0,92,
09,20.0,北风,1,0,92,
10,21.1,东北风,1,0,86,
11,21.9,北风,1,0,79,
12,23.7,西北风,1,0,71,
13,25.5,西北风,1,0,60,
14,26.6,北风,1,0,57,
15,26.6,西北风,2,0,59,
16,26.5,东北风,2,0,59,
17,25.2,东风,1,0,65,
18,24.1,南风,2,0,70,
19,22.8,西南风,3,0,78,
20,22.7,西南风,2,0,79,
21,22.1,西南风,3,0,83,
