小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,17.0,南风,1,0.4,96,
22,16.8,南风,1,0,97,
23,16.8,东北风,1,0,97,
00,16.3,东北风,1,0,97,
01,16.0,北风,1,0.1,98,
02,15.9,东北风,1,0,98,
03,16.1,东北风,1,0,98,
04,16.4,北风,1,0,98,
05,16.7,南风,1,0,98,
06,16.8,西南风,1,0,97,
07,16.9,西北风,0,0,97,
08,17.3,北风,1,0,98,
09,18.1,东南风,1,0,93,
10,19.4,东南风,2,0,85,
11,18.4,西风,2,2,92,
12,20.1,东北风,1,0.2,82,
13,21.4,东北风,1,0,74,
14,23.6,东南风,1,0,66,
15,24.7,西北风,1,0,56,
16,25.4,南风,2,0,55,
17,27.2,西南风,2,0,44,
18,26.9,西北风,1,0,46,
19,25.4,西南风,1,0,57,
20,22.6,东北风,1,0,74,
21,20.2,北风,1,0,80,
