小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,18.7,东北风,1,2.8,100,
22,18.3,南风,2,0.3,100,
23,18.2,东南风,1,4.6,100,
00,17.9,东南风,2,1.6,100,
01,17.1,东南风,2,0,100,
02,17.0,北风,1,2.8,100,
03,17.2,东南风,1,0.8,100,
04,17.1,北风,1,0.4,100,
05,16.9,东北风,1,0,100,
06,17.0,东南风,2,0,100,
07,17.0,东南风,1,0,100,
08,17.1,东风,1,0,100,
09,18.0,西南风,1,0,99,
10,19.3,南风,2,0,94,
11,20.0,东南风,2,0.1,82,
12,20.6,西南风,2,0,84,
13,23.0,南风,2,0,72,
14,24.2,西南风,2,0,67,
15,25.8,南风,2,0,60,
16,26.9,南风,2,0,62,
17,25.1,东风,3,0,68,
18,24.3,南风,2,0,69,
19,17.0,东南风,2,14.1,100,
20,16.9,东南风,2,0.2,100,
21,16.2,东北风,2,0,100,
