小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,15.1,西南风,2,0,90,
22,15.0,西南风,2,0,87,
23,14.5,西南风,3,0,89,
00,14.3,西南风,2,0,88,
01,14.3,西南风,2,0,89,
02,14.6,西南风,3,0,87,
03,14.5,西南风,2,0,86,
04,14.0,西南风,2,0,88,
05,14.1,西南风,2,0,88,
06,14.1,南风,2,0,87,
07,14.4,南风,2,0,84,
08,14.9,南风,2,0,82,
09,16.6,西南风,3,0,74,
10,18.7,西南风,3,0,64,
11,20.8,西南风,3,0,54,
12,21.7,西南风,3,0,48,
13,23.4,西南风,3,0,41,
14,25.6,西南风,3,0,31,
15,26.1,西南风,3,0,29,
16,26.6,西风,3,0,28,
17,25.6,西南风,3,0,27,
18,25.5,西南风,2,0,28,
19,24.3,西南风,2,0,31,
20,22.6,西南风,2,0,36,
21,21.0,西南风,2,0,47,
