小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,14.6,南风,1,0,100,
23,14.6,南风,2,0,100,
00,14.7,南风,2,0,100,
01,14.5,南风,1,0.1,100,
02,14.3,南风,1,0,100,
03,13.7,西南风,1,0,100,
04,14.1,西南风,2,0,100,
05,14.3,西南风,1,0,100,
06,14.3,南风,1,0,99,
07,13.8,南风,1,0,100,
08,15.0,西南风,1,0,88,
09,17.0,西南风,2,0,75,
10,18.8,西南风,2,0,67,
11,20.7,西南风,2,0,57,
12,22.1,西南风,3,0,47,
13,23.8,西南风,3,0,40,
14,24.7,西南风,3,0,35,
15,24.9,西南风,3,0,39,
16,25.5,南风,3,0,38,
17,24.9,西南风,2,0,38,
18,24.1,西南风,2,0,37,
19,23.8,西南风,2,0,38,
20,22.0,西南风,2,0,45,
21,20.9,西南风,2,0,49,
22,20.6,西南风,3,0,49,
