小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,17.8,西风,1,0,71,
22,17.8,西南风,3,0,64,
23,17.3,西南风,3,0,68,
00,16.9,南风,2,0,71,
01,16.4,西南风,3,0,73,
02,16.1,西南风,2,0,72,
03,15.5,西南风,2,0,75,
04,14.1,东北风,1,0,88,
05,13.5,东风,1,0,91,
06,13.0,东风,1,0,91,
07,12.7,东北风,1,0,92,
08,13.8,西北风,0,0,88,
09,16.7,南风,1,0.1,72,
10,19.6,西南风,3,0,58,
11,21.8,西南风,4,0,43,
12,22.7,西南风,4,0,41,
13,23.3,西南风,4,0,40,
14,24.7,西南风,4,0,34,
15,25.5,西风,4,0,30,
16,26.1,西南风,3,0,30,
17,25.5,西南风,4,0,33,
18,24.6,西南风,4,0,35,
19,22.9,西南风,4,0,39,
20,20.8,西南风,4,0,45,
21,19.5,西南风,4,0,49,
