小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,16.8,东南风,3,3.3,92,
22,16.8,南风,1,0.1,92,
23,16.6,南风,1,0,93,
00,15.7,西风,1,0,95,
01,15.5,西风,1,0,96,
02,15.1,西风,1,0,96,
03,15.1,西风,2,0,97,
04,15.1,北风,1,0,97,
05,14.8,西风,2,0,97,
06,15.3,西北风,2,0,97,
07,15.1,西北风,2,0,97,
08,15.8,北风,1,0.1,97,
09,17.0,西风,1,0,93,
10,20.3,北风,1,0,75,
11,23.0,西南风,2,0,63,
12,21.0,西风,3,1.1,77,
13,17.7,西北风,2,4.3,87,
14,22.3,西北风,2,0,67,
15,24.8,西南风,3,0,53,
16,25.2,西南风,3,0,52,
17,24.5,西风,2,0,52,
18,24.8,西风,2,0,51,
19,23.2,西风,2,0,57,
20,21.7,西南风,1,0,68,
21,20.5,西南风,1,0,74,
