小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,27.9,西北风,1,0,66,
22,27.9,东北风,3,0,60,
23,24.9,东北风,4,0,70,
00,20.8,东北风,2,19.7,96,
01,20.9,东北风,2,0.2,94,
02,20.7,北风,1,0,95,
03,20.6,东北风,2,0,96,
04,20.4,东风,1,0.1,95,
05,20.1,北风,1,0,94,
06,19.9,东北风,1,0,97,
07,19.8,东北风,1,0,97,
08,20.6,北风,1,0,94,
09,22.4,东北风,2,0,87,
10,23.8,东风,2,0,78,
11,26.0,东北风,2,0,71,
12,27.4,东北风,2,0,66,
13,29.1,北风,1,0,61,
14,30.1,东风,2,0,56,
15,31.5,东北风,2,0,54,
16,32.2,北风,1,0,48,
17,31.6,北风,1,0,52,
18,20.7,东风,2,3.1,89,
19,21.5,西南风,1,2,90,
20,21.2,东北风,1,0,94,
21,20.3,东南风,1,0,95,
