小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,11.3,西南风,1,0,78,
22,10.1,西南风,1,0,78,
23,10.1,南风,1,0,80,
00,9.2,南风,1,0,85,
01,8.3,南风,1,0,87,
02,8.1,南风,1,0,88,
03,7.9,东南风,1,0,89,
04,8.0,东风,1,0,90,
05,8.1,西南风,1,0,90,
06,7.9,南风,1,0,93,
07,7.9,东风,1,0,93,
08,8.5,西南风,1,0,93,
09,9.4,西北风,0,0,91,
10,12.3,东北风,1,0,76,
11,16.4,东南风,1,0,52,
12,17.7,西北风,2,0,49,
13,18.7,西北风,2,0,40,
14,19.9,北风,3,0,38,
15,20.1,西北风,3,0,38,
16,18.1,西北风,3,0,42,
17,19.0,西北风,3,0,43,
18,17.9,西北风,3,0,44,
19,16.4,西北风,2,0,52,
20,15.0,西风,2,0,57,
21,13.8,西风,1,0,61,
