小时,温度,风力方向,风级,降水量,相对湿度,空气质量
06,5.8,西风,1,0,69,
07,6.8,西风,2,0,64,
08,8.2,西南风,1,0,64,
09,10.3,东南风,1,0,52,
10,13.2,西北风,2,0,48,
11,16.7,东风,1,0,40,
12,20.0,东北风,2,0,33,
13,22.6,东北风,1,0,28,
14,22.7,北风,2,0,30,
15,23.1,西风,4,0,34,
16,22.9,西风,4,0,36,
17,22.1,西北风,4,0,36,
18,20.8,西北风,4,0,38,
19,19.7,西风,2,0,44,
20,18.5,西风,2,0,39,
21,16.7,西风,1,0,47,
22,16.2,西风,2,0,44,
23,16.2,西风,2,0,41,
00,14.4,西北风,1,0,49,
01,13.6,西北风,2,0,52,
02,12.9,西风,2,0,53,
03,12.1,西风,2,0,53,
04,11.1,西风,2,0,59,
05,10.4,西南风,2,0,62,
06,12.0,西风,2,0,53,
