小时,温度,风力方向,风级,降水量,相对湿度,空气质量
06,7.7,东北风,2,0,61,56
07,14.8,东南风,1,0,39,62
08,17.8,东南风,2,0,27,62
09,19.8,南风,2,0,21,59
10,21.3,东南风,2,0,22,52
11,24.1,南风,2,0,15,47
12,25.5,西风,2,0,12,44
13,28.0,西风,3,0,12,43
14,29.4,西风,2,0,11,45
15,30.3,西南风,2,0,10,45
16,31.0,西风,2,0,9,45
17,31.3,西风,2,0,9,44
18,30.9,西南风,2,0,9,43
19,30.2,西风,1,0,14,40
20,22.7,西南风,1,0,21,34
21,22.3,西南风,2,0,23,35
22,16.7,西南风,1,0,43,44
23,16.8,西南风,1,0,38,55
00,18.8,西北风,3,0,24,49
01,15.4,东北风,1,0,42,44
02,13.4,西风,2,0,55,51
03,14.1,西风,2,0,47,55
04,14.8,北风,2,0,35,56
05,15.1,北风,2,0,34,60
06,13.4,东风,1,0.0,38,
