小时,温度,风力方向,风级,降水量,相对湿度,空气质量
05,5.8,北风,3,0,58,
06,6.3,北风,2,0,59,
07,7.3,北风,2,0,59,
08,8.4,东南风,1,0,59,
09,10.0,西风,1,0,57,
10,14.5,南风,3,0,43,
11,16.7,东南风,4,0,40,
12,18.0,南风,3,0,40,
13,17.4,南风,3,0,45,
14,16.6,南风,2,0,51,
15,18.3,南风,2,0,48,
16,18.4,东南风,2,0,52,
17,18.6,东南风,2,0,53,
18,18.4,南风,2,0,52,
19,16.6,东北风,2,0,63,
20,13.5,西风,1,0,77,
21,12.0,北风,2,0,85,
22,11.6,西北风,2,0,85,
23,10.3,北风,2,0,90,
00,9.7,北风,2,0,91,
01,8.9,北风,3,0,90,
02,8.5,北风,2,0,92,
03,7.7,北风,2,0,92,
04,7.4,西北风,2,0,85,
05,8.2,北风,3,0,78,
