小时,温度,风力方向,风级,降水量,相对湿度,空气质量
06,8.4,西北风,2,0,36,36
07,13.4,东风,1,0,27,43
08,16.3,东风,2,0,21,47
09,18.2,东风,2,0,22,48
10,19.3,南风,2,0,20,53
11,20.9,东南风,2,0,19,59
12,23.3,南风,4,0,15,61
13,24.8,南风,4,0,14,57
14,26.5,西南风,4,0,14,58
15,28.2,西南风,4,0,11,56
16,27.9,西南风,4,0,10,47
17,28.3,西南风,3,0,10,41
18,28.4,西南风,3,0,10,41
19,27.5,西南风,2,0,10,44
20,22.1,西北风,2,0,15,54
21,21.1,西北风,2,0,16,60
22,19.5,西北风,3,0,17,64
23,20.2,东南风,2,0,17,66
00,16.4,东北风,1,0,23,63
01,16.6,北风,2,0,24,59
02,15.7,西北风,2,0,27,54
03,14.8,西北风,2,0,29,55
04,14.0,西北风,3,0,30,56
05,19.0,北风,4,0,20,56
06,17.1,西南风,4,0,31,
