小时,温度,风力方向,风级,降水量,相对湿度,空气质量
06,9.1,西北风,1,0,46,
07,14.2,东北风,1,0,36,
08,16.3,东风,2,0,27,
09,18.4,东风,2,0,23,
10,19.9,南风,2,0,21,
11,21.9,东南风,2,0,19,
12,23.3,西南风,2,0,20,
13,25.9,西风,3,0,15,
14,28.1,西风,3,0,10,
15,29.0,西风,3,0,10,
16,29.4,西南风,3,0,9,
17,29.9,西风,3,0,9,
18,29.2,西风,3,0,9,
19,28.2,西南风,2,0,10,
20,23.8,北风,1,0,19,
21,19.0,西北风,1,0,28,
22,22.2,西北风,2,0,17,
23,17.7,西北风,1,0,29,
00,14.7,西北风,1,0,34,
01,15.9,西北风,1,0,28,
02,13.8,北风,1,0,38,
03,15.4,西北风,1,0,31,
04,13.8,东北风,1,0,37,
05,13.7,东风,1,0,33,
06,13.8,西风,1,0,37,
