小时,温度,风力方向,风级,降水量,相对湿度,空气质量
06,9.5,东风,1,0,31,
07,13.9,东风,1,0,28,
08,17.2,西南风,2,0,18,
09,19.0,西南风,3,0,16,
10,20.5,西南风,3,0,16,
11,22.4,西南风,3,0,14,
12,22.8,南风,3,0,15,
13,23.8,西南风,4,0,14,
14,24.2,西南风,4,0,14,
15,24.4,西南风,4,0,14,
16,25.2,西南风,4,0,12,
17,24.8,西南风,4,0,12,
18,24.5,西南风,4,0,12,
19,23.4,西南风,3,0,13,
20,21.5,西南风,3,0,14,
21,20.7,西南风,3,0,14,
22,20.7,西南风,3,0,14,
23,20.6,西南风,3,0,14,
00,20.1,南风,3,0,15,
01,18.2,西风,2,0,18,
02,15.3,南风,2,0,21,
03,14.8,南风,2,0,22,
04,12.4,东北风,1,0,27,
05,10.7,西南风,2,0,35,
06,9.4,西风,2,0,58,
