小时,温度,风力方向,风级,降水量,相对湿度,空气质量
06,15.3,南风,2,0,23,
07,16.3,南风,2,0,29,
08,18.3,南风,2,0,26,
09,21.3,南风,2,0,16,
10,22.8,南风,2,0,15,
11,25.2,南风,2,0,13,
12,27.7,南风,2,0,11,
13,29.0,南风,2,0,11,
14,30.0,南风,2,0,9,
15,31.0,南风,2,0,7,
16,32.0,西南风,2,0,7,
17,31.8,南风,2,0,7,
18,31.9,西风,1,0,8,
19,30.8,西南风,2,0,12,
20,27.7,南风,1,0,16,
21,26.4,南风,2,0,15,
22,24.9,南风,1,0,18,
23,22.6,东南风,2,0,20,
00,21.7,东南风,2,0,18,
01,22.0,东南风,2,0,17,
02,21.9,南风,2,0,17,
03,21.7,南风,2,0,17,
04,20.7,东风,2,0,20,
05,18.7,东北风,2,0,30,
06,17.4,东北风,3,0,33,
