小时,温度,风力方向,风级,降水量,相对湿度,空气质量
06,11.8,东北风,2,0,29,
07,14.8,东北风,1,0,26,
08,18.6,东北风,2,0,19,
09,21.5,东北风,1,0,13,
10,23.6,西风,2,0,10,
11,25.5,西风,3,0,9,
12,26.6,西风,3,0,9,
13,28.1,西风,3,0,8,
14,29.4,西北风,3,0,8,
15,30.5,西风,3,0,7,
16,30.6,西风,3,0,6,
17,31.1,西风,2,0,6,
18,30.7,西风,3,0,6,
19,29.1,西风,2,0,7,
20,26.1,西北风,1,0,10,
21,22.8,东南风,1,0,13,
22,21.6,东南风,2,0,14,
23,21.0,东风,2,0,14,
00,19.1,东北风,2,0,19,
01,18.4,东北风,2,0,20,
02,18.2,北风,2,0,19,
03,18.8,北风,3,0,19,
04,18.7,北风,3,0,19,
05,18.3,东北风,4,0,38,
06,16.8,东北风,6,0,43,
