小时,温度,风力方向,风级,降水量,相对湿度,空气质量
06,7.6,南风,1,0,28,
07,13.0,西南风,3,0,21,
08,14.9,西南风,3,0,19,
09,18.0,西南风,3,0,16,
10,21.6,西南风,3,0,12,
11,23.5,西风,3,0,11,
12,25.4,西风,3,0,10,
13,27.4,西南风,3,0,8,
14,29.0,西风,3,0,7,
15,28.7,北风,3,0,7,
16,27.7,东北风,4,0,15,
17,23.7,东北风,5,0,26,
18,20.8,东北风,5,0,34,
19,19.0,东北风,4,0,37,
20,16.8,东北风,3,0,44,
21,15.1,北风,4,0,48,
22,13.7,东北风,4,0,51,
23,12.6,北风,4,0,48,
00,11.4,北风,3,0,50,
01,10.7,东北风,3,0,46,
02,10.2,北风,2,0,44,
03,8.8,北风,3,0,48,
04,8.9,北风,4,0,35,
05,7.6,北风,5,0,27,
06,6.8,北风,5,0,26,
