小时,温度,风力方向,风级,降水量,相对湿度,空气质量
06,8.9,南风,2,0,55,
07,13.7,南风,1,0,41,
08,18.4,西南风,3,0,28,
09,21.1,西南风,3,0,21,
10,22.9,西南风,3,0,19,
11,25.6,西南风,4,0,14,
12,26.3,西南风,4,0,13,
13,27.6,西南风,4,0,14,
14,28.3,西南风,4,0,13,
15,29.2,西南风,5,0,12,
16,28.7,西南风,5,0,12,
17,28.4,西南风,5,0,13,
18,27.4,西南风,5,0,15,
19,25.5,西南风,5,0,17,
20,24.4,西南风,6,0,20,
21,23.5,西南风,5,0,23,
22,22.3,西南风,4,0,25,
23,21.7,南风,4,0,27,
00,21.0,西南风,3,0,28,
01,19.2,北风,2,0,38,
02,17.5,北风,2,0,44,
03,16.1,北风,2,0,47,
04,13.0,东风,1,0,57,
05,11.0,东风,1,0,67,
06,12.4,东南风,1,0,65,
