小时,温度,风力方向,风级,降水量,相对湿度,空气质量
06,11.1,东风,1,0,32,
07,13.4,东风,1,0,30,
08,16.6,西南风,1,0,21,
09,20.7,东风,2,0,18,
10,22.4,西风,3,0,11,
11,23.6,西风,3,0,10,
12,24.9,西南风,3,0,9,
13,25.5,西风,2,0,9,
14,27.2,南风,2,0,9,
15,27.0,西南风,3,0,9,
16,27.3,南风,3,0,9,
17,27.3,西南风,3,0,9,
18,26.9,西南风,2,0,9,
19,25.8,南风,3,0,10,
20,23.5,南风,2,0,13,
21,22.0,西南风,2,0,13,
22,19.8,西南风,1,0,16,
23,18.8,南风,2,0,19,
00,17.4,南风,1,0,21,
01,17.9,西南风,2,0,20,
02,17.0,西南风,1,0,20,
03,16.4,东南风,1,0,23,
04,16.0,东风,1,0,28,
05,14.0,东北风,1,0,28,
06,7.9,东风,0,0.0,46,
