小时,温度,风力方向,风级,降水量,相对湿度,空气质量
06,11.6,东南风,2,0,22,
07,14.1,东南风,2,0,20,
08,19.5,西南风,3,0,14,
09,23.2,西南风,4,0,10,
10,25.1,西南风,3,0,9,
11,26.7,西南风,4,0,8,
12,27.5,西南风,3,0,7,
13,28.9,南风,3,0,7,
14,29.9,南风,3,0,7,
15,30.2,南风,4,0,7,
16,30.1,南风,3,0,7,
17,30.4,南风,3,0,7,
18,29.9,南风,3,0,7,
19,29.0,南风,3,0,8,
20,26.6,东南风,2,0,11,
21,23.7,东南风,3,0,12,
22,21.1,南风,3,0,15,
23,19.7,南风,3,0,16,
00,19.3,南风,3,0,15,
01,19.3,南风,3,0,16,
02,18.6,南风,3,0,17,
03,18.1,东南风,3,0,19,
04,15.3,东南风,2,0,24,
05,12.3,东风,1,0,33,
06,13.3,东南风,1,0.0,34,
