小时,温度,风力方向,风级,降水量,相对湿度,空气质量
06,9.6,西南风,2,0,33,
07,11.8,西南风,3,0,29,
08,14.4,西南风,3,0,27,
09,17.4,西南风,3,0,25,
10,20.9,西南风,3,0,17,
11,22.8,西南风,3,0,15,
12,23.7,西南风,4,0,15,
13,25.0,西南风,4,0,13,
14,25.9,西南风,4,0,12,
15,27.2,西南风,4,0,12,
16,27.4,西风,4,0,10,
17,27.5,西风,4,0,10,
18,26.8,西南风,3,0,11,
19,25.2,西南风,3,0,13,
20,22.2,西南风,2,0,16,
21,20.0,西风,1,0,20,
22,18.1,北风,1,0,30,
23,15.0,东北风,2,0,43,
00,13.6,东北风,3,0,53,
01,12.1,东北风,2,0,61,
02,11.2,北风,2,0,66,
03,10.3,北风,2,0,70,
04,9.4,东北风,1,0,72,
05,8.4,北风,1,0,77,
06,9.0,西风,2,0,71,
