小时,温度,风力方向,风级,降水量,相对湿度,空气质量
06,13.9,南风,4,0,16,
07,16.2,南风,3,0,14,
08,20.2,西南风,4,0,11,
09,21.8,西南风,4,0,10,
10,23.7,西南风,4,0,9,
11,24.7,西南风,4,0,8,
12,26.2,西南风,3,0,7,
13,27.5,西南风,4,0,7,
14,28.2,西风,3,0,7,
15,28.9,西南风,2,0,7,
16,28.9,西南风,2,0,6,
17,28.9,西南风,3,0,7,
18,27.9,东南风,2,0,7,
19,27.9,西南风,2,0,7,
20,25.9,南风,2,0,8,
21,22.7,南风,3,0,11,
22,20.7,东南风,3,0,13,
23,18.0,东南风,3,0,15,
00,18.9,北风,2,0,16,
01,18.2,北风,5,0,29,
02,15.4,东北风,5,0,36,
03,14.4,东北风,6,0,41,
04,13.2,东北风,7,0,43,
05,12.1,东北风,7,0,42,
06,17.1,西风,6,0.0,25,
