小时,温度,风力方向,风级,降水量,相对湿度,空气质量
06,12.0,东南风,2,0,49,36
07,13.3,南风,1,0,49,35
08,16.2,南风,1,0,44,36
09,19.5,东南风,2,0,35,42
10,22.8,西南风,2,0,20,46
11,24.3,西南风,2,0,20,45
12,25.8,东南风,2,0,15,45
13,26.5,西南风,2,0,13,45
14,27.8,西南风,2,0,11,47
15,28.9,西南风,2,0,11,49
16,30.1,西南风,1,0,11,49
17,30.2,南风,1,0,12,50
18,31.1,西北风,1,0,13,66
19,29.2,西北风,2,0,17,80
20,22.7,北风,2,0,28,82
21,20.3,东北风,2,0,32,119
22,20.2,东北风,1,0,30,78
23,21.8,东北风,2,0,24,72
00,18.8,东南风,2,0,35,62
01,17.1,北风,1,0,42,59
02,17.1,东北风,2,0,36,53
03,15.3,东风,1,0,41,47
04,14.6,东北风,1,0,52,42
05,14.8,北风,2,0,50,43
06,15.7,西南风,4,0.0,13,
