小时,温度,风力方向,风级,降水量,相对湿度,空气质量
06,10.2,北风,1,0,86,
07,14.8,西北风,1,0,61,
08,18.7,西风,2,0,51,
09,22.3,西风,1,0,39,
10,25.3,西南风,1,0,30,
11,27.9,西风,2,0,24,
12,28.8,西风,2,0,21,
13,29.4,西风,3,0,22,
14,30.8,西南风,2,0,24,
15,31.6,南风,3,0,19,
16,31.9,西南风,3,0,17,
17,31.7,西南风,3,0,18,
18,30.9,西南风,2,0,20,
19,28.5,西南风,2,0,26,
20,24.2,南风,1,0,39,
21,21.4,东风,2,0,48,
22,20.5,东风,2,0,52,
23,19.1,东风,2,0,58,
00,18.7,东风,2,0,60,
01,18.0,东风,2,0,63,
02,17.2,东风,2,0,68,
03,17.5,东风,2,0,70,
04,16.9,东风,1,0,76,
05,15.7,东风,1,0,83,
06,16.4,南风,1,0,84,
