小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,24.8,西风,1,0.0,79,
22,21.0,西风,3,0.0,61,
23,20.8,北风,3,0.0,63,
00,20.4,北风,3,0.0,65,
01,20.1,北风,3,0.0,65,
02,19.1,西风,2,0.0,74,
03,19.0,西风,2,0.0,73,
04,21.8,西风,2,0.0,71,
05,20.2,西北风,2,0.0,64,
06,20.2,西北风,2,0.0,63,
07,21.6,西风,2,0.0,60,
08,25.5,西北风,2,0.0,52,
09,26.4,西风,2,0.0,52,
10,27.3,西风,2,0.0,51,
11,30.4,北风,2,0.0,42,
12,30.9,北风,2,0.0,40,
13,31.4,北风,2,0.0,40,
14,33.4,北风,2,0.0,43,
15,33.4,北风,2,0.0,43,
16,33.6,西北风,3,0.0,42,
17,30.1,北风,2,0.0,59,
18,29.1,北风,2,0.0,64,
19,28.4,北风,2,0.0,68,
20,24.8,西风,1,0.0,79,
21,24.8,西风,1,0.0,79,
