小时,温度,风力方向,风级,降水量,相对湿度,空气质量
20,13.5,东南风,1,0,29,
21,12.5,东风,1,0,30,
22,13.7,东风,2,0,28,
23,13.7,东风,2,0,28,
00,13.6,东风,2,0,27,
01,13.2,东南风,2,0,28,
02,14.2,东南风,2,0,27,
03,14.5,东南风,2,0,27,
04,14.5,东风,3,0,27,
05,14.4,东南风,3,0,28,
06,13.8,东南风,3,0,33,
07,13.3,东南风,3,0,47,
08,11.1,东南风,3,0.4,80,
09,10.4,东南风,3,2.4,100,
10,11.7,东南风,3,0.3,100,
11,13.5,东南风,3,0,100,
12,15.8,南风,3,0,95,
13,18.0,东南风,3,0,89,
14,17.8,南风,3,0.2,78,
15,20.5,南风,3,0.1,56,
16,20.5,西南风,4,0,52,
17,20.5,西南风,4,0,49,
18,19.5,南风,2,0,55,
19,16.7,南风,3,0.2,83,
20,16.8,西南风,3,0.7,79,
