小时,温度,风力方向,风级,降水量,相对湿度,空气质量
20,18.3,东风,3,0,25,35
21,17.9,东风,2,0,26,36
22,17.8,东风,2,0,26,36
23,17.5,东风,3,0,25,30
00,16.7,东风,3,0,30,30
01,16.3,东风,3,0,31,30
02,16.0,东风,3,0,33,35
03,15.5,东风,4,0,39,43
04,15.2,东风,4,0,38,44
05,14.6,东风,3,0,42,50
06,14.6,东北风,3,0,45,51
07,14.6,东北风,3,0,47,55
08,15.6,东北风,3,0,47,56
09,17.6,东风,3,0,47,62
10,19.2,东北风,2,0,49,71
11,20.9,东北风,1,0,47,76
12,21.9,西北风,2,0,46,85
13,21.6,西北风,3,0,47,82
14,20.6,西北风,3,0,53,80
15,19.7,北风,3,0,58,76
16,17.5,西北风,3,0.5,81,73
17,15.4,北风,3,7.7,96,72
18,15.0,北风,3,7.9,98,68
19,15.2,北风,2,4.7,98,64
20,14.3,东北风,2,1.8,98,48
