小时,温度,风力方向,风级,降水量,相对湿度,空气质量
20,17.9,东南风,3,0,26,
21,17.4,东南风,2,0,26,
22,16.9,东南风,3,0,28,
23,16.8,东南风,3,0,30,
00,16.4,东南风,3,0,34,
01,16.4,东南风,3,0,34,
02,15.7,东南风,3,0,39,
03,15.3,东风,4,0,38,
04,14.0,东风,4,0,49,
05,13.3,东风,4,0,56,
06,13.5,东风,4,0,57,
07,13.8,东风,5,0,57,
08,14.9,东风,5,0,55,
09,15.9,东风,4,0,54,
10,17.8,东风,4,0,50,
11,19.4,东风,3,0,49,
12,20.1,东北风,4,0,52,
13,20.6,东北风,3,0,54,
14,20.7,东北风,3,0,56,
15,19.5,东北风,3,0,64,
16,18.3,东北风,3,0,71,
17,15.2,东北风,4,4.2,94,
18,14.3,东风,3,6.7,96,
19,14.2,东北风,2,2.3,97,
20,13.2,东北风,3,2.5,98,
