小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,10.1,西风,1,0,69,
23,9.0,西风,1,0,79,
00,8.4,西风,1,0,84,
01,7.8,西北风,1,0,89,
02,7.5,西北风,1,0,92,
03,7.2,西风,1,0,94,
04,7.0,西风,1,0,96,
05,7.1,西风,1,0,97,
06,8.0,西风,1,0,94,
07,11.3,西北风,1,0,85,
08,14.8,西风,1,0,68,
09,18.4,西风,1,0,50,
10,20.0,西南风,4,0,35,
11,19.9,西南风,4,0,37,
12,20.2,西风,4,0,36,
13,21.0,西南风,4,0,23,
14,20.9,西南风,4,0,21,
15,20.5,西南风,4,0,19,
16,19.7,西南风,4,0,23,
17,19.3,西南风,4,0,25,
18,19.0,西南风,4,0,24,
19,17.7,西风,2,0,25,
20,16.9,西南风,3,0,23,
21,16.2,西南风,3,0,20,
22,15.5,西南风,2,0,23,
