小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,14.1,东风,3,0,74,
22,13.3,东南风,3,0,78,
23,13.0,东南风,3,0,76,
00,12.3,东北风,3,0,79,
01,12.3,东风,2,0,78,
02,12.1,东北风,2,0,79,
03,12.0,东风,2,0,78,
04,11.7,东北风,2,0,80,
05,11.2,东风,2,0,81,
06,11.1,东北风,2,0,79,
07,11.4,东北风,2,0,79,
08,13.5,东风,3,0,71,
09,15.6,东南风,2,0,59,
10,16.5,西南风,3,0,48,
11,18.1,南风,2,0,41,
12,19.1,西南风,4,0,38,
13,20.3,西南风,4,0,36,
14,20.7,西南风,4,0,32,
15,22.0,西南风,4,0,31,
16,22.6,西风,4,0,32,
17,22.1,西风,3,0,32,
18,22.8,西风,4,0,30,
19,21.6,西南风,2,0,36,
20,18.7,东南风,3,0,43,
21,18.0,东南风,2,0,46,
