小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,18.5,北风,1,0,69,
22,17.4,东风,1,0,77,
23,16.5,北风,2,0.5,85,
00,15.6,东风,1,0.3,89,
01,15.2,西北风,1,1.8,93,
02,15.0,东北风,1,0.1,92,
03,14.9,东北风,1,0,93,
04,14.9,东北风,1,0,93,
05,14.8,东北风,1,0,93,
06,14.7,东北风,1,0,92,
07,14.7,东北风,1,0,91,
08,15.4,东南风,1,0,87,
09,17.8,北风,1,0,78,
10,19.6,东风,2,0,67,
11,21.3,东北风,2,0,62,
12,23.2,东风,2,0,53,
13,25.1,东风,2,0,44,
14,26.9,西风,2,0,37,
15,28.1,西风,2,0,32,
16,28.7,东北风,3,0,37,
17,26.6,北风,3,0,43,
18,24.6,北风,3,0,53,
19,22.6,北风,3,0,56,
20,21.2,北风,3,0,59,
21,20.1,西北风,2,0,63,
