小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,22.5,西南风,1,0,67,
22,22.1,南风,1,0,67,
23,20.6,东北风,1,1.1,81,
00,19.2,北风,2,0,83,
01,19.1,东北风,2,0,84,
02,19.2,东北风,2,0,83,
03,19.1,东北风,2,0,83,
04,18.7,东北风,2,0,85,
05,18.4,东北风,2,0,84,
06,17.7,东北风,2,0,85,
07,17.4,东北风,2,0,86,
08,17.3,东北风,1,0,89,
09,19.9,东风,1,0,79,
10,22.5,东南风,1,0,68,
11,24.9,南风,1,0,57,
12,27.0,东南风,2,0,45,
13,29.5,东风,1,0,34,
14,30.4,东北风,2,0,35,
15,31.4,东北风,2,0,32,
16,32.0,东北风,3,0,29,
17,32.4,东北风,2,0,27,
18,30.3,西南风,2,0,38,
19,28.3,西南风,2,0,43,
20,26.7,西南风,2,0,51,
21,25.2,西南风,2,0,54,
