小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,21.8,北风,1,0.0,83,
22,20.5,南风,1,0.0,88,
23,20.2,东风,1,0.0,91,
00,19.9,南风,1,0.0,91,
01,20.1,东风,0,0.0,88,
02,19.7,东风,1,0.0,91,
03,19.6,南风,1,0.0,91,
04,19.8,南风,1,0.0,94,
05,19.4,南风,1,0.0,93,
06,19.2,东风,1,0.0,93,
07,19.4,东风,1,0.0,92,
08,20.6,东风,1,0.0,87,
09,21.6,东南风,1,0.0,81,
10,23.4,西南风,1,0.0,75,
11,25.4,西风,1,0.0,69,
12,25.5,西南风,1,0.0,67,
13,26.1,西风,1,0.0,65,
14,26.0,北风,1,0.0,64,
15,26.0,北风,1,0.0,64,
16,25.5,西北风,1,0.0,68,
17,24.6,西北风,1,0.0,74,
18,24.6,西北风,1,0.0,74,
19,23.4,北风,1,0.0,77,
20,21.8,北风,1,0.0,83,
21,21.8,北风,1,0.0,83,
