小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,21.9,东风,1,0,77,
23,21.6,西南风,2,0,82,
00,21.3,北风,1,0,84,
01,21.1,北风,2,0,86,
02,20.9,北风,2,0,86,
03,20.8,北风,2,0,86,
04,20.6,北风,1,0,87,
05,20.4,北风,2,0,87,
06,20.1,东南风,2,0,89,
07,20.0,北风,1,0,88,
08,20.4,北风,2,0,85,
09,21.3,北风,2,0,81,
10,23.2,东北风,2,0,74,
11,24.0,东北风,2,0,72,
12,24.5,东南风,2,0,69,
13,24.0,东风,2,0,72,
14,24.9,东风,2,0,67,
15,25.0,东南风,2,0,73,
16,25.4,东南风,2,0,71,
17,24.9,东南风,2,0,70,
18,24.3,东风,2,0,72,
19,23.7,南风,2,0,77,
20,22.3,南风,1,0,83,
21,21.2,南风,1,0,89,
22,20.6,东南风,2,0,91,
