小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,21.4,东风,1,0,81,
22,21.3,东南风,2,0,82,
23,20.9,东风,1,0,85,
00,20.5,东南风,1,0,87,
01,20.4,南风,1,0,88,
02,20.1,西南风,1,0,91,
03,20.0,西南风,1,0,92,
04,19.9,西风,1,0,93,
05,19.8,东风,1,0,93,
06,19.7,东风,1,0,95,
07,19.7,东北风,1,0,95,
08,20.2,北风,1,0,95,
09,21.1,东风,1,0,90,
10,22.4,北风,1,0,83,
11,23.7,北风,2,0,78,
12,23.8,北风,1,0,75,
13,24.6,东风,2,0,71,
14,25.7,北风,2,0,67,
15,26.1,东北风,2,0,68,
16,26.4,东北风,2,0,62,
17,26.6,北风,2,0,61,
18,25.2,东北风,2,0,68,
19,24.5,东风,1,0,71,
20,24.0,东北风,2,0,73,
21,23.5,南风,1,0,78,
