小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,22.1,东南风,2,0,75,
22,21.7,东南风,2,0,78,
23,21.1,东南风,2,0,81,
00,20.8,东南风,2,0,82,
01,20.5,东南风,1,0,83,
02,19.9,东风,2,0,86,
03,19.5,东北风,1,0,87,
04,19.0,东风,1,0,90,
05,18.8,东南风,1,0,91,
06,18.6,东风,1,0,91,
07,18.6,东风,1,0,92,
08,19.8,东北风,1,0,88,
09,21.5,南风,1,0,79,
10,22.0,南风,1,0,76,
11,23.1,东北风,1,0,71,
12,24.9,西北风,2,0,65,
13,23.3,西北风,3,0,71,
14,23.3,北风,2,0,73,
15,23.4,西北风,3,0,72,
16,23.8,西北风,2,0,71,
17,23.7,西北风,2,0,72,
18,23.5,西北风,2,0,74,
19,22.6,西北风,2,0,78,
20,22.1,西北风,2,0,80,
21,21.7,西北风,2,0,82,
