小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,20.1,东北风,2,0.1,89,
23,19.7,东北风,2,0,91,
00,19.6,东风,1,0,91,
01,19.5,东北风,1,0.1,93,
02,19.2,东北风,1,0.5,94,
03,19.0,东北风,1,0,94,
04,18.9,北风,1,0.1,96,
05,18.7,东北风,1,0,96,
06,18.7,东风,2,0,96,
07,18.9,东北风,1,0,95,
08,19.3,东北风,2,0,94,
09,19.7,东北风,2,0,91,
10,20.5,东北风,2,0,87,
11,21.4,东北风,2,0,81,
12,21.8,北风,2,0,80,
13,22.4,北风,2,0,77,
14,22.9,北风,2,0,75,
15,22.8,北风,2,0,77,
16,23.2,西北风,2,0,73,
17,24.3,北风,1,0,71,
18,24.0,西风,2,0,69,
19,23.0,西南风,1,0,73,
20,21.8,西南风,1,0,78,
21,21.2,西南风,2,0,82,
22,21.1,西南风,2,0,83,
