小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,22.0,东风,1,0,74,
22,21.6,东风,2,0,75,
23,21.2,东南风,2,0,77,
00,20.8,东南风,2,0,78,
01,20.4,东南风,1,0,80,
02,20.2,南风,1,0,82,
03,19.8,东风,2,0,84,
04,19.4,东南风,2,0,86,
05,19.3,东南风,1,0,87,
06,19.4,东南风,2,0,86,
07,19.5,东风,1,0,87,
08,20.9,南风,1,0,81,
09,22.5,东风,1,0,71,
10,22.1,东风,2,0,75,
11,22.2,东风,2,0,76,
12,23.6,东北风,1,0,65,
13,22.4,西北风,3,0,75,
14,21.3,西北风,3,0,79,
15,20.8,北风,2,0,85,
16,21.3,北风,2,0,84,
17,21.6,东风,1,0,84,
18,21.5,北风,1,0,85,
19,21.2,西南风,1,0,86,
20,20.8,西风,1,0,87,
21,19.8,东南风,2,0,92,
