小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,21.2,北风,1,0,70,
22,20.9,西风,1,0,68,
23,19.9,西北风,2,0,78,
00,19.2,西北风,2,0,81,
01,18.5,西北风,2,0,83,
02,17.8,西北风,2,0,86,
03,17.4,北风,1,0,86,
04,17.0,北风,2,0,89,
05,16.5,北风,1,0,88,
06,16.1,东南风,1,0,93,
07,15.8,西北风,1,0,94,
08,17.1,东北风,1,0,81,
09,18.8,西北风,1,0,79,
10,22.2,西南风,1,0,59,
11,25.4,南风,2,0,48,
12,27.4,南风,2,0,40,
13,27.4,南风,4,0,36,
14,28.6,南风,4,0,30,
15,29.2,南风,3,0,30,
16,30.9,东风,3,0,29,
17,31.8,东南风,3,0,26,
18,30.5,南风,3,0,27,
19,30.3,南风,3,0,27,
20,29.3,东南风,2,0,29,
21,28.2,东南风,3,0,31,
