小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,22.7,西南风,1,0,61,
23,21.6,西风,1,0,64,
00,21.0,西北风,1,0,68,
01,20.6,西风,2,0,67,
02,19.3,西风,1,0,72,
03,18.8,西风,1,0,73,
04,18.3,西风,2,0,74,
05,17.9,西风,2,0,77,
06,17.1,北风,1,0,84,
07,16.4,西南风,1,0,90,
08,19.1,东风,1,0,77,
09,21.3,西风,1,0,65,
10,25.0,西南风,2,0,51,
11,27.1,西南风,3,0,39,
12,29.0,西南风,3,0,33,
13,30.6,西南风,4,0,28,
14,31.5,西南风,3,0,28,
15,32.5,西南风,3,0,26,
16,32.2,西南风,3,0,26,
17,32.9,西南风,3,0,23,
18,32.7,西南风,3,0,23,
19,32.1,西风,2,0,23,
20,30.2,西风,2,0,27,
21,28.3,西北风,3,0,32,
22,26.6,东北风,1,0,36,
