小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,10.6,南风,1,0.4,90,
22,10.2,西北风,1,0.2,90,
23,9.9,西风,1,0.7,88,
00,9.5,西南风,1,0.1,91,
01,9.3,东北风,1,0.1,89,
02,8.5,西北风,1,0,91,
03,7.9,南风,1,0,93,
04,7.1,东风,1,0,93,
05,6.8,西风,1,0,94,
06,7.0,西北风,1,0,94,
07,7.2,西南风,1,0,92,
08,8.4,东风,1,0,87,
09,10.3,南风,2,0,81,
10,15.3,东北风,2,0,60,
11,16.0,东风,3,0,59,
12,16.6,东风,4,0,59,
13,16.3,东风,4,0,61,
14,16.9,东风,4,0,57,
15,17.3,东风,4,0,54,
16,14.6,西风,2,0.1,70,
17,14.9,东风,4,0,67,
18,14.9,东风,4,0,65,
19,14.5,东南风,4,0,67,
20,12.9,东风,2,0.3,76,
21,10.9,东风,2,5.1,90,
