小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,12.2,西北风,2,0,59,
22,10.6,西南风,3,0,65,
23,9.5,西南风,1,0,71,
00,8.1,西南风,1,0,77,
01,7.2,西北风,1,0,79,
02,6.7,北风,1,0,81,
03,6.8,东北风,2,0,82,
04,6.6,北风,1,0,81,
05,6.3,北风,2,0,82,
06,6.0,北风,1,0,83,
07,5.6,东北风,2,0,86,
08,6.2,东北风,2,0,83,
09,7.4,东北风,1,0,77,
10,9.6,东风,1,0,67,
11,12.2,西南风,2,0,57,
12,11.8,东北风,2,0.2,65,
13,15.4,东北风,2,0,46,
14,17.1,东北风,2,0,41,
15,18.8,西南风,2,0,28,
16,19.6,南风,2,0,27,
17,19.1,南风,2,0,27,
18,17.9,西南风,2,0,27,
19,15.8,东风,2,0,36,
20,10.5,西南风,1,0.4,75,
21,8.2,东北风,2,3.4,86,
