小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,21.6,东风,1,0,89,54
22,21.8,东北风,1,0,87,62
23,21.3,东南风,1,0,95,59
00,21.1,东南风,1,0,99,60
01,21.0,东风,1,0,99,63
02,21.0,东南风,1,0,100,65
03,20.5,西北风,1,0,100,64
04,20.4,东风,1,0,100,64
05,20.3,西北风,1,0,100,63
06,20.3,南风,1,0,100,64
07,20.2,东风,1,0,100,67
08,20.7,东北风,1,0,100,63
09,22.1,东南风,1,0,89,62
10,23.1,东风,1,0,85,59
11,23.6,东北风,1,0,75,59
12,24.4,东北风,2,0,70,59
13,25.2,西北风,2,0,66,53
14,26.3,东北风,2,0,64,46
15,26.1,东南风,2,0,64,46
16,26.3,东风,2,0,63,50
17,25.6,东北风,2,0,63,54
18,25.2,东北风,2,0,65,55
19,24.8,东北风,1,0,68,55
20,24.0,东风,1,0,74,54
21,23.2,南风,1,0,83,55
