小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,20.4,东风,1,0,82,
22,19.7,东风,2,0,87,
23,19.2,西风,1,0,89,
00,19.5,西北风,1,0,87,
01,19.2,西南风,0,0,89,
02,18.8,东风,1,0,91,
03,18.8,西风,1,0,91,
04,18.8,东风,1,0,91,
05,18.8,西北风,1,0,89,
06,18.8,东风,1,0,90,
07,18.9,东风,1,0,90,
08,19.7,东北风,1,0,87,
09,20.9,东风,2,0,82,
10,22.5,东南风,2,0,74,
11,23.2,东风,2,0,71,
12,22.9,北风,1,0,73,
13,21.6,东北风,1,1.1,85,
14,22.8,东风,1,0.3,79,
15,24.5,东北风,2,0,69,
16,25.2,东风,2,0,63,
17,25.0,东风,2,0,66,
18,24.1,东风,2,0,71,
19,23.4,东风,1,0,74,
20,22.7,东风,1,0,77,
21,22.2,东风,1,0,82,
