小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,18.1,西南风,1,0,91,
23,18.0,西南风,1,0,92,
00,17.9,西南风,1,0,94,
01,17.8,西风,1,0,99,
02,17.5,西风,1,0,100,
03,17.3,西南风,1,0,100,
04,17.1,西风,1,0.7,100,
05,16.9,西南风,1,0.3,100,
06,17.0,西南风,1,0,100,
07,17.1,西南风,1,0,100,
08,17.7,东北风,0,0,100,
09,18.4,西风,1,0,99,
10,18.8,西北风,1,0,96,
11,19.0,西南风,1,0,91,
12,18.3,西南风,1,0.8,100,
13,18.5,西北风,1,1.8,100,
14,19.1,南风,1,0,100,
15,19.2,南风,2,0,100,
16,19.0,西南风,1,0,100,
17,18.9,西风,1,0,100,
18,19.1,西南风,1,0.1,100,
19,19.2,西北风,1,0,100,
20,18.4,西南风,1,0,100,
21,17.9,西风,1,0,100,
22,17.6,西北风,1,0,100,
