小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,11.1,北风,2,0,53,
22,9.1,东北风,2,0,64,
23,8.0,北风,2,0,69,
00,6.6,北风,2,0,76,
01,5.4,东北风,2,0,79,
02,4.4,东北风,2,0,82,
03,3.1,北风,2,0,86,
04,2.5,东北风,2,0,87,
05,1.8,东北风,2,0,89,
06,1.2,北风,2,0,90,
07,1.6,北风,2,0,91,
08,2.9,北风,2,0,82,
09,5.2,东南风,2,0,76,
10,9.4,南风,2,0,64,
11,13.5,南风,2,0,48,
12,17.3,东南风,2,0,32,
13,19.8,南风,3,0,22,
14,18.9,南风,3,0,23,
15,18.2,西南风,3,0,23,
16,16.8,南风,3,0,28,
17,15.4,南风,3,0,33,
18,13.5,南风,3,0,41,
19,10.1,南风,2,0.1,66,
20,8.2,东风,1,0.9,83,
21,7.4,东南风,2,1.3,89,
