小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,19.6,东南风,2,0,85,
22,19.1,东南风,2,0,89,
23,18.9,东南风,1,0,91,
00,18.7,东风,1,0,92,
01,18.2,东南风,1,0,94,
02,18.0,东南风,1,0,93,
03,17.5,东南风,1,0,96,
04,17.2,东南风,2,0,100,
05,17.2,东南风,1,0,100,
06,17.0,东风,1,0,100,
07,16.9,东南风,1,0,100,
08,17.4,东风,1,0,99,
09,18.0,北风,1,0,97,
10,21.1,西北风,1,0,84,
11,21.4,西风,1,0,76,
12,23.6,东北风,1,0,67,
13,22.9,北风,2,0,68,
14,23.0,东北风,2,0,64,
15,23.5,北风,3,0,64,
16,22.4,北风,2,0,70,
17,23.3,北风,2,0,65,
18,21.3,东北风,3,0,78,
19,20.8,东风,1,0,83,
20,19.9,东风,2,0,89,
21,18.8,东风,2,0,96,
