小时,温度,风力方向,风级,降水量,相对湿度,空气质量
18,23.8,西风,2,0,21,
19,21.5,西风,2,0,27,
20,20.5,西风,2,0,32,
21,19.9,西风,3,0,33,
22,19.2,北风,2,0,38,
23,16.2,西北风,2,0,53,
00,15.0,西北风,1,0,60,
01,14.3,西风,1,0,63,
02,13.8,西北风,2,0,66,
03,14.9,西风,2,0,49,
04,13.6,西风,2,0,55,
05,12.9,西北风,2,0,61,
06,14.8,北风,1,0,57,
07,16.4,西北风,2,0,49,
08,19.1,北风,2,0,39,
09,22.7,东风,2,0.0,28,
10,22.5,西北风,4,0,26,
11,23.1,西北风,3,0,26,
12,24.0,西北风,3,0,26,
13,24.4,西北风,3,0,24,
14,24.7,西北风,3,0,24,
15,25.4,西风,3,0,24,
16,25.9,西风,3,0,24,
17,26.1,西北风,2,0,22,
18,26.0,西风,2,0,20,
