小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,18.2,东风,2,0,50,
23,16.3,西风,2,0,57,
00,15.2,东北风,1,0,61,
01,14.7,东风,1,0,64,
02,14.0,东南风,1,0,67,
03,14.2,西风,4,0,68,
04,15.4,西风,3,0,52,
05,14.8,西风,3,0,42,
06,14.3,西风,2,0,41,
07,14.3,西风,2,0,42,
08,15.3,西北风,2,0,42,
09,16.0,西北风,3,0,44,
10,16.8,北风,4,0,38,
11,16.1,西北风,4,0,47,
12,15.1,西北风,4,0,51,
13,13.6,北风,4,0,58,
14,12.4,西北风,3,0,73,
15,11.8,西北风,3,0,78,
16,12.0,西北风,3,0.1,80,
17,12.6,西北风,3,0,73,
18,12.8,西北风,3,0,68,
19,12.1,西风,3,0,68,
20,11.3,西风,2,0,70,
21,10.9,西风,2,0,68,
22,10.6,西风,2,0,68,
