小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,19.2,南风,1,0,64,
22,17.9,南风,1,0,72,
23,17.8,南风,2,0,72,
00,17.8,南风,2,0,75,
01,17.3,西南风,2,0,78,
02,16.7,西南风,2,0,82,
03,16.1,西南风,1,0,85,
04,16.0,西南风,1,0,86,
05,14.8,西南风,1,0,92,
06,15.9,南风,1,0,87,
07,19.3,东风,1,0,82,
08,21.9,南风,2,0,66,
09,23.4,南风,2,0,61,
10,25.3,南风,3,0,51,
11,26.2,南风,3,0,51,
12,27.4,南风,3,0,51,
13,28.0,南风,4,0,50,
14,28.7,南风,4,0,45,
15,29.1,南风,4,0,45,
16,28.8,南风,3,0,50,
17,27.8,南风,3,0,50,
18,27.2,南风,4,0,53,
19,26.1,南风,3,0,58,
20,25.5,南风,3,0,59,
21,25.1,西南风,3,0,61,
