小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,20.1,东风,1,0,53,58
22,18.8,东风,1,0,60,55
23,18.7,东北风,2,0,61,53
00,17.6,东风,1,0,66,52
01,16.6,东风,1,0,74,56
02,16.4,东北风,1,0,74,56
03,15.7,东风,1,0,81,50
04,15.5,东南风,1,0,80,46
05,15.7,东南风,1,0,80,46
06,16.2,东南风,1,0,80,44
07,19.0,东风,1,0,73,45
08,20.9,东风,2,0,66,47
09,23.7,东风,2,0,60,53
10,26.5,东风,2,0,52,56
11,28.4,东风,2,0,43,53
12,29.8,南风,2,0,43,55
13,30.5,西南风,2,0,40,58
14,30.2,南风,2,0,40,50
15,29.8,南风,2,0,45,48
16,29.5,南风,2,0,48,44
17,29.6,西南风,3,0,46,46
18,28.7,南风,2,0,50,50
19,27.3,南风,2,0,62,50
20,25.8,南风,1,0,67,53
21,23.9,东南风,1,0,76,
