小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,17.5,东南风,2,0,77,56
22,16.9,西北风,1,0.0,69,58
23,16.1,西北风,1,0.0,70,61
00,15.4,西北风,1,0.0,73,61
01,14.8,西北风,1,0.0,76,62
02,14.4,西北风,1,0.0,79,62
03,14.2,西北风,1,0.0,81,61
04,13.9,西北风,1,0.0,83,60
05,13.7,西北风,1,0.0,86,67
06,14.2,西北风,1,0.0,88,69
07,16.8,西北风,1,0.0,83,72
08,18.8,东南风,2,0,76,69
09,21.5,南风,2,0,66,68
10,24.2,南风,3,0,56,59
11,26.4,南风,3,0,48,58
12,28.0,南风,3,0,45,57
13,28.5,南风,3,0,43,73
14,28.8,南风,3,0,35,82
15,28.9,南风,3,0,34,74
16,28.9,南风,3,0,33,80
17,28.4,南风,3,0,35,84
18,27.2,南风,3,0,42,80
19,24.7,东南风,2,0,51,73
20,23.5,东南风,2,0,53,70
21,23.4,东南风,1,0,53,65
