小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,19.6,东南风,1,0,67,
22,19.8,东南风,2,0,58,
23,17.6,东风,1,0,74,
00,16.8,东南风,1,0,79,
01,17.4,东南风,2,0,71,
02,17.0,东南风,2,0,74,
03,17.1,东风,2,0,75,
04,16.6,东南风,1,0,80,
05,16.1,东风,2,0,83,
06,17.2,东风,2,0,80,
07,20.0,东南风,2,0,71,
08,23.0,东南风,2,0,55,
09,24.7,南风,3,0,45,
10,26.3,西南风,2,0,43,
11,27.6,南风,2,0,37,
12,28.8,西南风,3,0,32,
13,29.9,西南风,3,0,30,
14,30.1,东南风,4,0,28,
15,30.2,东南风,3,0,27,
16,30.3,东南风,3,0,26,
17,29.8,东南风,3,0,32,
18,28.8,东南风,2,0,40,
19,27.6,东南风,2,0,49,
20,26.6,东南风,2,0,57,
21,26.1,南风,2,0,60,
