小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,19.7,东南风,2,0,56,
22,19.2,东南风,2,0,60,
23,18.4,东南风,2,0,64,
00,14.8,西北风,1,0,88,
01,13.8,西风,1,0,90,
02,13.6,东北风,1,0,87,
03,13.0,西南风,1,0,89,
04,12.3,西北风,1,0,92,
05,12.5,北风,1,0,93,
06,13.9,西南风,1,0,85,
07,16.6,西南风,1,0,75,
08,19.5,南风,1,0,67,
09,22.3,南风,1,0,60,
10,25.2,东南风,2,0,54,
11,26.1,南风,3,0,50,
12,27.4,南风,3,0,45,
13,28.0,南风,3,0,40,
14,28.3,南风,3,0,38,
15,28.5,南风,3,0,37,
16,28.9,南风,3,0,45,
17,28.6,南风,3,0,46,
18,27.4,南风,2,0,52,
19,26.6,南风,3,0,55,
20,24.5,南风,1,0,70,
21,23.5,西南风,1,0,69,
